First_Prize,Second_Prize,MSE
1400,800,10267.937360000005
1400,850,11338.027825625013
1400,900,12332.261412500002
1400,950,13539.608605625
1400,1000,14594.77738999999
1400,1050,15746.759231249993
1400,1100,17035.935494999998
1400,1150,18446.052260000022
1400,1200,19556.598420000002
1400,1250,21112.04465562502
1400,1300,22561.84463499999
1400,1350,24020.219067500006
1450,50,985.0571543750004
1450,100,1313.0495643749994
1450,150,1674.8986400000006
1450,200,2055.6628474999993
1450,250,2551.8897793750016
1450,300,3047.8406843750017
1450,350,3564.583790000001
1450,400,4226.539431249998
1450,450,4822.455783125007
1450,500,5518.879954375
1450,550,6322.754335624993
1450,600,7095.240698125001
1450,650,7949.909920000005
1450,700,8816.322727500003
1450,750,9668.043816249994
1450,800,10802.397078125
1450,850,11757.342668125006
1450,900,12832.925149375009
1450,950,14129.75671875001
1450,1000,15193.947401249989
1450,1050,16383.374591875
1450,1100,17670.414837499993
1450,1150,18954.029671874978
1450,1200,20298.301798750006
1450,1250,21843.531925625
1450,1300,23170.31559687498
1450,1350,24848.29880249999
1450,1400,26327.541733125032
1500,50,1145.5677643749998
1500,100,1502.8590499999996
1500,150,1874.2168293749992
1500,200,2297.8864799999988
1500,250,2751.471984375
1500,300,3283.7047424999987
1500,350,3952.4825799999985
1500,400,4524.147897499996
1500,450,5205.119034374994
1500,500,5941.09675
1500,550,6649.361036875
1500,600,7551.709357500002
1500,650,8435.454028124997
1500,700,9297.4595075
1500,750,10207.74796875
1500,800,11331.351577499989
1500,850,12297.398847500002
1500,900,13486.018477499993
1500,950,14520.728403124986
1500,1000,15714.5735625
1500,1050,16950.053851874996
1500,1100,18274.246410000014
1500,1150,19714.851298125
1500,1200,21109.419675000005
1500,1250,22409.18990625
1500,1300,24031.76377749999
1500,1350,25550.527449375004
1500,1400,27161.264562499964
1500,1450,28798.98442187501
1550,50,1265.9245912500007
1550,100,1668.8675006250014
1550,150,2074.4813074999997
1550,200,2515.372438125001
1550,250,3036.58672875
1550,300,3609.138169999997
1550,350,4211.928234374994
1550,400,4913.479061874993
1550,450,5587.417908124998
1550,500,6257.170298750001
1550,550,7098.946529375001
1550,600,7880.4003693749955
1550,650,8791.002323125003
1550,700,9753.866689375003
1550,750,10833.130396874998
1550,800,11799.979934375
1550,850,12847.742808125004
1550,900,13995.299696249984
1550,950,15248.231766874987
1550,1000,16336.488043124997
1550,1050,17617.29990312501
1550,1100,19062.891176250032
1550,1150,20453.999903749973
1550,1200,21729.097201874996
1550,1250,23243.376520625006
1550,1300,24646.777978749982
1550,1350,26369.793491249984
1550,1400,27886.442311250008
1550,1450,29624.890263749974
1550,1500,31182.910890625033
1600,50,1482.6695031249985
1600,100,1886.7750175000021
1600,150,2299.731471250001
1600,200,2765.588420000001
1600,250,3306.1647668750065
1600,300,3919.3881224999964
1600,350,4548.813571250003
1600,400,5226.399279999995
1600,450,5913.765464999997
1600,500,6782.097677499997
1600,550,7521.1001387499955
1600,600,8404.115240000006
1600,650,9234.762786875002
1600,700,10346.558047500008
1600,750,11304.489263125008
1600,800,12262.03104000002
1600,850,13541.368379999994
1600,900,14611.678547499994
1600,950,15821.307590624996
1600,1000,17069.785490000006
1600,1050,18393.216528750007
1600,1100,19785.790144999977
1600,1150,21168.32156062499
1600,1200,22563.119240000007
1600,1250,23832.896891875018
1600,1300,25533.896117500004
1600,1350,27070.00404812502
1600,1400,28800.35531000001
1600,1450,30325.53327124997
1600,1500,31986.50579249997
1600,1550,33829.14962999998
1650,50,1667.0487881249999
1650,100,2102.7627050000015
1650,150,2532.966491250002
1650,200,3071.1384331250015
1650,250,3623.8563087500033
1650,300,4137.934826249998
1650,350,4874.905222500002
1650,400,5631.967335000004
1650,450,6294.174423749997
1650,500,7099.316015624992
1650,550,7898.530265625015
1650,600,8911.15673624998
1650,650,9697.54612187499
1650,700,10765.905253125014
1650,750,11851.77827812499
1650,800,12962.317764375
1650,850,14130.483866249997
1650,900,15105.305396249993
1650,950,16451.71875999999
1650,1000,17643.847629374995
1650,1050,19024.967801250023
1650,1100,20387.327603125002
1650,1150,21728.41513687498
1650,1200,23350.39124062499
1650,1250,24814.457880000024
